hidden numbering,Frequency Rank,Complexity,Word,Romanised,품사,Classification,Hanja/Ref.,English,,Wiktionary Link,,Wordreference Link,Note,,,
19,19,A,때,ttae,명,noun,시간,occasion; time,https://en.wiktionary.org/wiki/때,https://en.wiktionary.org/wiki/때,https://www.wordreference.com/koen/때,https://www.wordreference.com/koen/때,,,,
20,20,A,거,geo,의,noun,것,thing,https://en.wiktionary.org/wiki/거,https://en.wiktionary.org/wiki/거,https://www.wordreference.com/koen/거,https://www.wordreference.com/koen/거,,,,
21,21,A,보다,boda,보,auxiliary verb,,to try out (+auxiliary),https://en.wiktionary.org/wiki/보다,https://en.wiktionary.org/wiki/보다,https://www.wordreference.com/koen/보다,https://www.wordreference.com/koen/보다,,,,
22,22,A,같다,gatda,형,adjective,,To be similar,https://en.wiktionary.org/wiki/같다,https://en.wiktionary.org/wiki/같다,https://www.wordreference.com/koen/같다,https://www.wordreference.com/koen/같다,,,,
23,23,A,주다,juda,보,auxiliary verb,,"To give, to do for a person",https://en.wiktionary.org/wiki/주다,https://en.wiktionary.org/wiki/주다,https://www.wordreference.com/koen/주다,https://www.wordreference.com/koen/주다,,,,
24,24,B,대하다,daehada,동,verb,對-,"Face, confront",https://en.wiktionary.org/wiki/대하다,https://en.wiktionary.org/wiki/대하다,https://www.wordreference.com/koen/대하다,https://www.wordreference.com/koen/대하다,,,,
25,25,A,가다,gada,동,verb,,To go,https://en.wiktionary.org/wiki/가다,https://en.wiktionary.org/wiki/가다,https://www.wordreference.com/koen/가다,https://www.wordreference.com/koen/가다,,,,
26,26,A,년,nyeon,의,noun,年,Year,https://en.wiktionary.org/wiki/년,https://en.wiktionary.org/wiki/년,https://www.wordreference.com/koen/년,https://www.wordreference.com/koen/년,,,,
27,27,A,한,han,관,attributive,,"One, a single",https://en.wiktionary.org/wiki/한,https://en.wiktionary.org/wiki/한,https://www.wordreference.com/koen/한,https://www.wordreference.com/koen/한,,,,
28,28,A,말,mal,명,noun,~과글,"words,speaking",https://en.wiktionary.org/wiki/말,https://en.wiktionary.org/wiki/말,https://www.wordreference.com/koen/말,https://www.wordreference.com/koen/말,,,,
29,29,A,일,il,명,noun,,Work,https://en.wiktionary.org/wiki/일,https://en.wiktionary.org/wiki/일,https://www.wordreference.com/koen/일,https://www.wordreference.com/koen/일,,,,
30,30,A,이,i,대,pronoun,,"A person, This",https://en.wiktionary.org/wiki/이,https://en.wiktionary.org/wiki/이,https://www.wordreference.com/koen/이,https://www.wordreference.com/koen/이,,,,
31,31,A,때문,ttaemun,의,noun,,Because of,https://en.wiktionary.org/wiki/때문,https://en.wiktionary.org/wiki/때문,https://www.wordreference.com/koen/때문,https://www.wordreference.com/koen/때문,,,,
32,32,A,말하다,malhada,동,verb,,Speak,https://en.wiktionary.org/wiki/말하다,https://en.wiktionary.org/wiki/말하다,https://www.wordreference.com/koen/말하다,https://www.wordreference.com/koen/말하다,,,,
33,33,B,위하다,wihada,동,verb,爲-,To do for the sake of,https://en.wiktionary.org/wiki/위하다,https://en.wiktionary.org/wiki/위하다,https://www.wordreference.com/koen/위하다,https://www.wordreference.com/koen/위하다,,,,
34,34,A,그러나,geureona,부,adverb,,However or but still,https://en.wiktionary.org/wiki/그러나,https://en.wiktionary.org/wiki/그러나,https://www.wordreference.com/koen/그러나,https://www.wordreference.com/koen/그러나,,,,
35,35,A,오다,oda,동,verb,,To come,https://en.wiktionary.org/wiki/오다,https://en.wiktionary.org/wiki/오다,https://www.wordreference.com/koen/오다,https://www.wordreference.com/koen/오다,,,,
36,36,A,알다,alda,동,verb,,To know,https://en.wiktionary.org/wiki/알다,https://en.wiktionary.org/wiki/알다,https://www.wordreference.com/koen/알다,https://www.wordreference.com/koen/알다,,,,
37,37,A,씨,ssi,의,noun,氏,~ Mr.,https://en.wiktionary.org/wiki/씨,https://en.wiktionary.org/wiki/씨,https://www.wordreference.com/koen/씨,https://www.wordreference.com/koen/씨,,,,
38,38,A,그렇다,geureohda,형,adjective,,That is right or yes.,https://en.wiktionary.org/wiki/그렇다,https://en.wiktionary.org/wiki/그렇다,https://www.wordreference.com/koen/그렇다,https://www.wordreference.com/koen/그렇다,,,,
39,39,A,크다,keuda,형,adjective,,"To be big, large",https://en.wiktionary.org/wiki/크다,https://en.wiktionary.org/wiki/크다,https://www.wordreference.com/koen/크다,https://www.wordreference.com/koen/크다,,,,
40,40,A,또,tto,부,adverb,,"also, too",https://en.wiktionary.org/wiki/또,https://en.wiktionary.org/wiki/또,https://www.wordreference.com/koen/또,https://www.wordreference.com/koen/또,,,,
41,41,A,일,il,의,noun,하루,day,https://en.wiktionary.org/wiki/일,https://en.wiktionary.org/wiki/일,https://www.wordreference.com/koen/일,https://www.wordreference.com/koen/일,,,,
42,42,B,사회,sahoe,명,noun,社會,"culture,society",https://en.wiktionary.org/wiki/사회,https://en.wiktionary.org/wiki/사회,https://www.wordreference.com/koen/사회,https://www.wordreference.com/koen/사회,,,,
43,43,A,많다,manhda,형,adjective,,"many, much",https://en.wiktionary.org/wiki/많다,https://en.wiktionary.org/wiki/많다,https://www.wordreference.com/koen/많다,https://www.wordreference.com/koen/많다,,,,
44,44,A,안,an,부,adverb,아니,~ not ~ + VERB,https://en.wiktionary.org/wiki/안,https://en.wiktionary.org/wiki/안,https://www.wordreference.com/koen/안,https://www.wordreference.com/koen/안,,,,
45,45,A,좋다,johda,형,adjective,,To be good,https://en.wiktionary.org/wiki/좋다,https://en.wiktionary.org/wiki/좋다,https://www.wordreference.com/koen/좋다,https://www.wordreference.com/koen/좋다,,,,
46,46,A,더,deo,부,adverb,,More,https://en.wiktionary.org/wiki/더,https://en.wiktionary.org/wiki/더,https://www.wordreference.com/koen/더,https://www.wordreference.com/koen/더,,,,
47,47,A,받다,batda,동,verb,선물을~,Receive,https://en.wiktionary.org/wiki/받다,https://en.wiktionary.org/wiki/받다,https://www.wordreference.com/koen/받다,https://www.wordreference.com/koen/받다,,,,
48,48,A,그것,geugeos,대,pronoun,,That thing,https://en.wiktionary.org/wiki/그것,https://en.wiktionary.org/wiki/그것,https://www.wordreference.com/koen/그것,https://www.wordreference.com/koen/그것,,,,
49,49,A,집,jip,명,noun,,House,https://en.wiktionary.org/wiki/집,https://en.wiktionary.org/wiki/집,https://www.wordreference.com/koen/집,https://www.wordreference.com/koen/집,,,,
50,50,A,나오다,naoda,동,verb,,Come out,https://en.wiktionary.org/wiki/나오다,https://en.wiktionary.org/wiki/나오다,https://www.wordreference.com/koen/나오다,https://www.wordreference.com/koen/나오다,,,,
51,51,B,따르다,ttareuda,동,verb,뒤를~,follow,https://en.wiktionary.org/wiki/따르다,https://en.wiktionary.org/wiki/따르다,https://www.wordreference.com/koen/따르다,https://www.wordreference.com/koen/따르다,,,,
52,52,A,그리고,geurigo,부,adverb,,And or and then,https://en.wiktionary.org/wiki/그리고,https://en.wiktionary.org/wiki/그리고,https://www.wordreference.com/koen/그리고,https://www.wordreference.com/koen/그리고,,,,
53,53,A,문제,munje,명,noun,問題,"question,problem",https://en.wiktionary.org/wiki/문제,https://en.wiktionary.org/wiki/문제,https://www.wordreference.com/koen/문제,https://www.wordreference.com/koen/문제,,,,
54,54,B,그런,geureon,관,attributive,,Such a,https://en.wiktionary.org/wiki/그런,https://en.wiktionary.org/wiki/그런,https://www.wordreference.com/koen/그런,https://www.wordreference.com/koen/그런,,,,
55,55,A,살다,salda,동,verb,,To live,https://en.wiktionary.org/wiki/살다,https://en.wiktionary.org/wiki/살다,https://www.wordreference.com/koen/살다,https://www.wordreference.com/koen/살다,,,,
56,56,A,저,jeo,대,pronoun,일인칭대명사,That,https://en.wiktionary.org/wiki/저,https://en.wiktionary.org/wiki/저,https://www.wordreference.com/koen/저,https://www.wordreference.com/koen/저,,,,
57,57,A,못하다,moshada,보,auxiliary verb,,Be impossible,https://en.wiktionary.org/wiki/못하다,https://en.wiktionary.org/wiki/못하다,https://www.wordreference.com/koen/못하다,https://www.wordreference.com/koen/못하다,,,,
58,58,A,생각하다,saenggakhada,동,verb,,To think,https://en.wiktionary.org/wiki/생각하다,https://en.wiktionary.org/wiki/생각하다,https://www.wordreference.com/koen/생각하다,https://www.wordreference.com/koen/생각하다,,,,
59,59,A,모르다,moreuda,동,verb,,To not know,https://en.wiktionary.org/wiki/모르다,https://en.wiktionary.org/wiki/모르다,https://www.wordreference.com/koen/모르다,https://www.wordreference.com/koen/모르다,,,,
60,60,A,속,sok,명,noun,,The inside,https://en.wiktionary.org/wiki/속,https://en.wiktionary.org/wiki/속,https://www.wordreference.com/koen/속,https://www.wordreference.com/koen/속,,,,
61,61,A,만들다,mandeulda,동,verb,,To make,https://en.wiktionary.org/wiki/만들다,https://en.wiktionary.org/wiki/만들다,https://www.wordreference.com/koen/만들다,https://www.wordreference.com/koen/만들다,,,,
62,62,B,데,de,의,noun,,"Place, point, instance",https://en.wiktionary.org/wiki/데,https://en.wiktionary.org/wiki/데,https://www.wordreference.com/koen/데,https://www.wordreference.com/koen/데,,,,
63,63,A,두,du,관,attributive,,two,https://en.wiktionary.org/wiki/두,https://en.wiktionary.org/wiki/두,https://www.wordreference.com/koen/두,https://www.wordreference.com/koen/두,,,,
64,64,A,앞,ap,명,noun,,"In front of, before",https://en.wiktionary.org/wiki/앞,https://en.wiktionary.org/wiki/앞,https://www.wordreference.com/koen/앞,https://www.wordreference.com/koen/앞,,,,
65,65,B,경우,gyeongu,명,noun,境遇,A case or an instance,https://en.wiktionary.org/wiki/경우,https://en.wiktionary.org/wiki/경우,https://www.wordreference.com/koen/경우,https://www.wordreference.com/koen/경우,,,,
66,66,B,중,jung,의,noun,中,"The center, the middle",https://en.wiktionary.org/wiki/중,https://en.wiktionary.org/wiki/중,https://www.wordreference.com/koen/중,https://www.wordreference.com/koen/중,,,,
67,67,A,어떤,eotteon,관,attributive,,"What kind of, what sort of",https://en.wiktionary.org/wiki/어떤,https://en.wiktionary.org/wiki/어떤,https://www.wordreference.com/koen/어떤,https://www.wordreference.com/koen/어떤,,,,
68,68,A,잘,jal,부,adverb,,Well,https://en.wiktionary.org/wiki/잘,https://en.wiktionary.org/wiki/잘,https://www.wordreference.com/koen/잘,https://www.wordreference.com/koen/잘,,,,
69,69,C,그녀,geunyeo,대,pronoun,-女,She,https://en.wiktionary.org/wiki/그녀,https://en.wiktionary.org/wiki/그녀,https://www.wordreference.com/koen/그녀,https://www.wordreference.com/koen/그녀,,,,
70,70,A,먹다,meokda,동,verb,밥을~,"Eat, chow down on",https://en.wiktionary.org/wiki/먹다,https://en.wiktionary.org/wiki/먹다,https://www.wordreference.com/koen/먹다,https://www.wordreference.com/koen/먹다,,,,
71,71,A,오다,oda,보,auxiliary verb,,To come,https://en.wiktionary.org/wiki/오다,https://en.wiktionary.org/wiki/오다,https://www.wordreference.com/koen/오다,https://www.wordreference.com/koen/오다,,,,
72,72,B,자신,jasin,명,noun,自身,"one’s own self, one\’s own body",https://en.wiktionary.org/wiki/자신,https://en.wiktionary.org/wiki/자신,https://www.wordreference.com/koen/자신,https://www.wordreference.com/koen/자신,,,,
73,73,B,문화,munhwa,명,noun,文化,culture,https://en.wiktionary.org/wiki/문화,https://en.wiktionary.org/wiki/문화,https://www.wordreference.com/koen/문화,https://www.wordreference.com/koen/문화,,,,
74,74,A,원,won,의,noun,화폐단위,"A unit of south korean money, KRW",https://en.wiktionary.org/wiki/원,https://en.wiktionary.org/wiki/원,https://www.wordreference.com/koen/원,https://www.wordreference.com/koen/원,,,,
75,75,A,생각,saenggak,명,noun,,Thought,https://en.wiktionary.org/wiki/생각,https://en.wiktionary.org/wiki/생각,https://www.wordreference.com/koen/생각,https://www.wordreference.com/koen/생각,,,,
76,76,A,어떻다,eotteohda,형,adjective,,"how,what.. do you think of",https://en.wiktionary.org/wiki/어떻다,https://en.wiktionary.org/wiki/어떻다,https://www.wordreference.com/koen/어떻다,https://www.wordreference.com/koen/어떻다,,,,
77,77,A,명,myeong,의,noun,名.한~,Person counter,https://en.wiktionary.org/wiki/명,https://en.wiktionary.org/wiki/명,https://www.wordreference.com/koen/명,https://www.wordreference.com/koen/명,,,,
78,78,B,통하다,tonghada,동,verb,通-,"Run, lead; flow; go through",https://en.wiktionary.org/wiki/통하다,https://en.wiktionary.org/wiki/통하다,https://www.wordreference.com/koen/통하다,https://www.wordreference.com/koen/통하다,,,,
79,79,C,그러다,geureoda,동,verb,,"and so, and then, well",https://en.wiktionary.org/wiki/그러다,https://en.wiktionary.org/wiki/그러다,https://www.wordreference.com/koen/그러다,https://www.wordreference.com/koen/그러다,,,,
80,80,B,소리,sori,명,noun,,"A sound,noise",https://en.wiktionary.org/wiki/소리,https://en.wiktionary.org/wiki/소리,https://www.wordreference.com/koen/소리,https://www.wordreference.com/koen/소리,,,,
81,81,A,다시,dasi,부,adverb,,Again,https://en.wiktionary.org/wiki/다시,https://en.wiktionary.org/wiki/다시,https://www.wordreference.com/koen/다시,https://www.wordreference.com/koen/다시,,,,
82,82,A,다른,dareun,관,attributive,,Different,https://en.wiktionary.org/wiki/다른,https://en.wiktionary.org/wiki/다른,https://www.wordreference.com/koen/다른,https://www.wordreference.com/koen/다른,,,,
83,83,A,이런,ireon,관,attributive,,"Such, like this",https://en.wiktionary.org/wiki/이런,https://en.wiktionary.org/wiki/이런,https://www.wordreference.com/koen/이런,https://www.wordreference.com/koen/이런,,,,
84,84,A,여자,yeoja,명,noun,女子,"woman,female",https://en.wiktionary.org/wiki/여자,https://en.wiktionary.org/wiki/여자,https://www.wordreference.com/koen/여자,https://www.wordreference.com/koen/여자,,,,
85,85,A,개,gae,의,noun,個,Unit or piece,https://en.wiktionary.org/wiki/개,https://en.wiktionary.org/wiki/개,https://www.wordreference.com/koen/개,https://www.wordreference.com/koen/개,,,,
86,86,B,정도,jeongdo,명,noun,程度,"grade,degree",https://en.wiktionary.org/wiki/정도,https://en.wiktionary.org/wiki/정도,https://www.wordreference.com/koen/정도,https://www.wordreference.com/koen/정도,,,,
87,87,A,뒤,dwi,명,noun,,"back, latter, rear",https://en.wiktionary.org/wiki/뒤,https://en.wiktionary.org/wiki/뒤,https://www.wordreference.com/koen/뒤,https://www.wordreference.com/koen/뒤,,,,
88,88,A,듣다,deutda,동,verb,소리를~,"to listen, to hear",https://en.wiktionary.org/wiki/듣다,https://en.wiktionary.org/wiki/듣다,https://www.wordreference.com/koen/듣다,https://www.wordreference.com/koen/듣다,,,,
89,89,A,다,da,부,adverb,,"All, everything",https://en.wiktionary.org/wiki/다,https://en.wiktionary.org/wiki/다,https://www.wordreference.com/koen/다,https://www.wordreference.com/koen/다,,,,
90,90,A,좀,jom,부,adverb,조금,A little,https://en.wiktionary.org/wiki/좀,https://en.wiktionary.org/wiki/좀,https://www.wordreference.com/koen/좀,https://www.wordreference.com/koen/좀,,,,
91,91,A,들다,deulda,동,verb,여관에~,to enter/go into ; stay at hotel or inn,https://en.wiktionary.org/wiki/들다,https://en.wiktionary.org/wiki/들다,https://www.wordreference.com/koen/들다,https://www.wordreference.com/koen/들다,,,,
92,92,A,싶다,sipda,보,auxiliary verb,,"want,hope",https://en.wiktionary.org/wiki/싶다,https://en.wiktionary.org/wiki/싶다,https://www.wordreference.com/koen/싶다,https://www.wordreference.com/koen/싶다,,,,
93,93,B,보이다,boida,동,verb,보다'의피동사,"see,catch sight of",https://en.wiktionary.org/wiki/보이다,https://en.wiktionary.org/wiki/보이다,https://www.wordreference.com/koen/보이다,https://www.wordreference.com/koen/보이다,,,,
94,94,A,가지다,gajida,동,verb,,To have or take or hold,https://en.wiktionary.org/wiki/가지다,https://en.wiktionary.org/wiki/가지다,https://www.wordreference.com/koen/가지다,https://www.wordreference.com/koen/가지다,,,,
95,95,A,함께,hamkke,부,adverb,,"Together, with",https://en.wiktionary.org/wiki/함께,https://en.wiktionary.org/wiki/함께,https://www.wordreference.com/koen/함께,https://www.wordreference.com/koen/함께,,,,
96,96,A,아이,ai,명,noun,,Child,https://en.wiktionary.org/wiki/아이,https://en.wiktionary.org/wiki/아이,https://www.wordreference.com/koen/아이,https://www.wordreference.com/koen/아이,,,,
97,97,B,지나다,jinada,동,verb,,"pass,elapse,go on",https://en.wiktionary.org/wiki/지나다,https://en.wiktionary.org/wiki/지나다,https://www.wordreference.com/koen/지나다,https://www.wordreference.com/koen/지나다,,,,
98,98,A,많이,manhi,부,adverb,,A lot,https://en.wiktionary.org/wiki/많이,https://en.wiktionary.org/wiki/많이,https://www.wordreference.com/koen/많이,https://www.wordreference.com/koen/많이,,,,
99,99,A,시간,sigan,명,noun,時間,Time,https://en.wiktionary.org/wiki/시간,https://en.wiktionary.org/wiki/시간,https://www.wordreference.com/koen/시간,https://www.wordreference.com/koen/시간,,,,
100,100,A,너,neo,대,pronoun,,You,https://en.wiktionary.org/wiki/너,https://en.wiktionary.org/wiki/너,https://www.wordreference.com/koen/너,https://www.wordreference.com/koen/너,,,,
101,101,A,주다,juda,동,verb,,"To give, to do for a person",https://en.wiktionary.org/wiki/주다,https://en.wiktionary.org/wiki/주다,https://www.wordreference.com/koen/주다,https://www.wordreference.com/koen/주다,,,,
102,102,B,인간,ingan,명,noun,人間,"A person, a human being",https://en.wiktionary.org/wiki/인간,https://en.wiktionary.org/wiki/인간,https://www.wordreference.com/koen/인간,https://www.wordreference.com/koen/인간,,,,
103,103,B,사실,sasil,명,noun,事實,"The truth, a fact",https://en.wiktionary.org/wiki/사실,https://en.wiktionary.org/wiki/사실,https://www.wordreference.com/koen/사실,https://www.wordreference.com/koen/사실,,,,
104,104,A,나다,nada,동,verb,,To be born,https://en.wiktionary.org/wiki/나다,https://en.wiktionary.org/wiki/나다,https://www.wordreference.com/koen/나다,https://www.wordreference.com/koen/나다,,,,
105,105,A,이렇다,ireohda,형,adjective,,Like this,https://en.wiktionary.org/wiki/이렇다,https://en.wiktionary.org/wiki/이렇다,https://www.wordreference.com/koen/이렇다,https://www.wordreference.com/koen/이렇다,,,,
106,106,A,어머니,eomeoni,명,noun,,Mom,https://en.wiktionary.org/wiki/어머니,https://en.wiktionary.org/wiki/어머니,https://www.wordreference.com/koen/어머니,https://www.wordreference.com/koen/어머니,,,,
107,107,A,눈,nun,명,noun,신체의일부,Eyes,https://en.wiktionary.org/wiki/눈,https://en.wiktionary.org/wiki/눈,https://www.wordreference.com/koen/눈,https://www.wordreference.com/koen/눈,,,,
108,108,A,뭐,mwo,대,pronoun,,Huh? (2) something,https://en.wiktionary.org/wiki/뭐,https://en.wiktionary.org/wiki/뭐,https://www.wordreference.com/koen/뭐,https://www.wordreference.com/koen/뭐,,,,
109,109,B,점,jeom,명,noun,點,"point, spot",https://en.wiktionary.org/wiki/점,https://en.wiktionary.org/wiki/점,https://www.wordreference.com/koen/점,https://www.wordreference.com/koen/점,,,,
110,110,B,의하다,uihada,동,verb,依-,"To be due to, owing to",https://en.wiktionary.org/wiki/의하다,https://en.wiktionary.org/wiki/의하다,https://www.wordreference.com/koen/의하다,https://www.wordreference.com/koen/의하다,,,,
111,111,B,시대,sidae,명,noun,時代,"An age,period",https://en.wiktionary.org/wiki/시대,https://en.wiktionary.org/wiki/시대,https://www.wordreference.com/koen/시대,https://www.wordreference.com/koen/시대,,,,
112,112,A,다음,daeum,명,noun,,Next,https://en.wiktionary.org/wiki/다음,https://en.wiktionary.org/wiki/다음,https://www.wordreference.com/koen/다음,https://www.wordreference.com/koen/다음,,,,
113,113,B,이러하다,ireohada,형,adjective,,"Be this way, be like follows",https://en.wiktionary.org/wiki/이러하다,https://en.wiktionary.org/wiki/이러하다,https://www.wordreference.com/koen/이러하다,https://www.wordreference.com/koen/이러하다,,,,
114,114,A,누구,nugu,대,pronoun,,Who,https://en.wiktionary.org/wiki/누구,https://en.wiktionary.org/wiki/누구,https://www.wordreference.com/koen/누구,https://www.wordreference.com/koen/누구,,,,
115,115,A,전,jeon,명,noun,前,Before,https://en.wiktionary.org/wiki/전,https://en.wiktionary.org/wiki/전,https://www.wordreference.com/koen/전,https://www.wordreference.com/koen/전,,,,
116,116,A,곳,gos,명,noun,,a,https://en.wiktionary.org/wiki/곳,https://en.wiktionary.org/wiki/곳,https://www.wordreference.com/koen/곳,https://www.wordreference.com/koen/곳,,,,
117,117,A,여러,yeoreo,관,attributive,,"many,various",https://en.wiktionary.org/wiki/여러,https://en.wiktionary.org/wiki/여러,https://www.wordreference.com/koen/여러,https://www.wordreference.com/koen/여러,,,,
118,118,A,안,an,명,noun,집~,~ not ~ + VERB,https://en.wiktionary.org/wiki/안,https://en.wiktionary.org/wiki/안,https://www.wordreference.com/koen/안,https://www.wordreference.com/koen/안,,,,
119,119,A,하나,hana,수,numeral,,One,https://en.wiktionary.org/wiki/하나,https://en.wiktionary.org/wiki/하나,https://www.wordreference.com/koen/하나,https://www.wordreference.com/koen/하나,,,,
120,120,B,세계,segye,명,noun,世界,World,https://en.wiktionary.org/wiki/세계,https://en.wiktionary.org/wiki/세계,https://www.wordreference.com/koen/세계,https://www.wordreference.com/koen/세계,,,,
121,121,A,버리다,beorida,보,auxiliary verb,,"(following a verb) the verb\’s action is over, perhaps in a sad way",https://en.wiktionary.org/wiki/버리다,https://en.wiktionary.org/wiki/버리다,https://www.wordreference.com/koen/버리다,https://www.wordreference.com/koen/버리다,,,,
122,122,A,위,wi,명,noun,~아래,"The upper part, above",https://en.wiktionary.org/wiki/위,https://en.wiktionary.org/wiki/위,https://www.wordreference.com/koen/위,https://www.wordreference.com/koen/위,,,,
123,123,A,운동,undong,명,noun,運動,"Motion, movement",https://en.wiktionary.org/wiki/운동,https://en.wiktionary.org/wiki/운동,https://www.wordreference.com/koen/운동,https://www.wordreference.com/koen/운동,,,,
124,124,A,퍼센트,peosenteu,의,noun,percent,Percent,https://en.wiktionary.org/wiki/퍼센트,https://en.wiktionary.org/wiki/퍼센트,https://www.wordreference.com/koen/퍼센트,https://www.wordreference.com/koen/퍼센트,,,,
125,125,A,학교,hakgyo,명,noun,學校,School,https://en.wiktionary.org/wiki/학교,https://en.wiktionary.org/wiki/학교,https://www.wordreference.com/koen/학교,https://www.wordreference.com/koen/학교,,,,
126,126,B,자기,jagi,대,pronoun,自己,"Oneself, number one, numerouno, self",https://en.wiktionary.org/wiki/자기,https://en.wiktionary.org/wiki/자기,https://www.wordreference.com/koen/자기,https://www.wordreference.com/koen/자기,,,,
127,127,A,가장,gajang,부,adverb,,Most,https://en.wiktionary.org/wiki/가장,https://en.wiktionary.org/wiki/가장,https://www.wordreference.com/koen/가장,https://www.wordreference.com/koen/가장,,,,
128,128,B,대통령,daetongryeong,명,noun,大統領,The president,https://en.wiktionary.org/wiki/대통령,https://en.wiktionary.org/wiki/대통령,https://www.wordreference.com/koen/대통령,https://www.wordreference.com/koen/대통령,,,,
129,129,B,가지,gaji,의,noun,한~,One of the kind or a sort,https://en.wiktionary.org/wiki/가지,https://en.wiktionary.org/wiki/가지,https://www.wordreference.com/koen/가지,https://www.wordreference.com/koen/가지,,,,
130,130,A,들다,deulda,동,verb,꽃을~,"to hold, to carry; to give",https://en.wiktionary.org/wiki/들다,https://en.wiktionary.org/wiki/들다,https://www.wordreference.com/koen/들다,https://www.wordreference.com/koen/들다,,,,
131,131,A,시작하다,sijakhada,동,verb,始作-,"To start,begin",https://en.wiktionary.org/wiki/시작하다,https://en.wiktionary.org/wiki/시작하다,https://www.wordreference.com/koen/시작하다,https://www.wordreference.com/koen/시작하다,,,,
132,132,A,바로,baro,부,adverb,,"Right, correctly",https://en.wiktionary.org/wiki/바로,https://en.wiktionary.org/wiki/바로,https://www.wordreference.com/koen/바로,https://www.wordreference.com/koen/바로,,,,
133,133,A,어느,eoneu,관,attributive,,"Some, a certain",https://en.wiktionary.org/wiki/어느,https://en.wiktionary.org/wiki/어느,https://www.wordreference.com/koen/어느,https://www.wordreference.com/koen/어느,,,,
